id,station_name,city,state,zip,latitude,longitude,ev_connector_types,ev_network,ev_dc_fast_num,ev_level1_evse_num,ev_level2_evse_num,date_last_confirmed
39916,Mossy Nissan - Oceanside,Oceanside,CA,92056,33.181953,-117.298334,"CHADEMO,J1772,J1772COMBO",Non-Networked,3,0,2,2024-02-12
39917,Stadium Nissan,Orange,CA,92867,33.80819,-117.86507,"CHADEMO,J1772",Non-Networked,1,0,2,2024-02-12
39918,Team Nissan,Oxnard,CA,93036,34.22784,-119.15031,"CHADEMO,J1772",Non-Networked,1,0,1,2024-02-12
39919,Antelope Valley Nissan,Palmdale,CA,93551,34.5914,-118.1383,"CHADEMO,J1772",Non-Networked,2,0,2,2024-02-12
39920,North Bay Nissan,Petaluma,CA,94952,38.267202,-122.665068,"CHADEMO,J1772,J1772COMBO",Non-Networked,1,0,4,2024-02-12
39921,Mossy Nissan - Poway,Poway,CA,92064,32.95678,-117.02581,"CHADEMO,J1772",Non-Networked,1,0,1,2024-02-12
39922,Crown Nissan,Redding,CA,96002,40.571632,-122.36654,J1772,Non-Networked,0,0,1,2024-02-12
39925,Hanlees Hilltop Nissan,Richmond,CA,94806,37.98521,-122.32138,"CHADEMO,J1772,J1772COMBO",Non-Networked,1,0,1,2024-02-12
39926,Raceway Nissan,Riverside,CA,92507,33.941878,-117.297603,J1772,Non-Networked,0,0,1,2024-02-12
39927,Riverside Nissan,Riverside,CA,92504,33.925469,-117.419673,"CHADEMO,J1772,J1772COMBO",Non-Networked,1,0,2,2024-02-12
39928,Future Nissan of Roseville,Roseville,CA,95661,38.752198,-121.256452,"CHADEMO,J1772,J1772COMBO",Non-Networked,1,0,1,2024-02-12
39929,Nissan of Sacramento,Sacramento,CA,95821,38.63114,-121.39648,"CHADEMO,J1772,J1772COMBO",Non-Networked,1,0,1,2024-02-12
39930,MY Nissan,Salinas,CA,93907,36.720023,-121.662519,"CHADEMO,J1772",Non-Networked,1,0,2,2024-02-12
39931,Larry H Miller Nissan of San Bernardino,San Bernardino,CA,92408,34.07141,-117.29807,"CHADEMO,J1772",Non-Networked,1,0,1,2024-02-12
39932,Mossy Nissan - Kearny Mesa,San Diego,CA,92111,32.833179,-117.147384,"CHADEMO,J1772",Non-Networked,1,0,1,2024-02-12
39935,Premier Nissan,San Jose,CA,95136,37.275144,-121.877656,"CHADEMO,J1772,J1772COMBO",Non-Networked,2,0,1,2024-02-12
39936,Nissan of San Juan Capistrano,San Juan Capistrano,CA,92675,33.47462,-117.67629,"CHADEMO,J1772",Non-Networked,1,0,2,2024-02-12
39937,San Leandro Nissan,San Leandro,CA,94577,37.71267,-122.16245,"CHADEMO,J1772,J1772COMBO",Non-Networked,1,0,2,2024-02-12
