city,date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
Davis,2023-08-01,22.3,15.0,31.6,0.0,,,18.1,,1013.2,
Davis,2023-08-02,21.3,14.0,31.4,0.0,,,17.4,,1014.2,
Davis,2023-08-03,20.2,13.1,29.7,0.0,,,17.1,,1015.6,
Davis,2023-08-04,23.1,13.8,34.7,0.0,,,13.6,,1014.2,
Davis,2023-08-05,26.4,14.9,37.2,0.0,,,12.5,,1012.4,
Davis,2023-08-06,31.6,20.8,41.8,0.0,,,15.0,,1012.3,
Davis,2023-08-07,30.0,21.7,40.0,0.0,,,13.0,,1011.3,
Davis,2023-08-08,21.0,15.2,28.5,0.0,,,19.1,,1012.2,
Davis,2023-08-09,21.6,14.5,30.6,0.0,,,16.6,,1011.7,
Davis,2023-08-10,22.4,15.0,33.4,0.0,,,16.0,,1011.2,
Davis,2023-08-11,21.9,14.1,31.7,0.0,,,16.1,,1012.9,
Davis,2023-08-12,25.0,14.9,36.3,0.0,,,12.0,,1013.5,
Davis,2023-08-13,26.7,17.2,37.8,0.0,,,12.4,,1012.0,
Davis,2023-08-14,29.0,19.7,39.1,0.0,,,10.7,,1011.0,
Davis,2023-08-15,30.1,20.2,41.4,0.0,,,12.3,,1012.0,
Davis,2023-08-16,29.0,18.6,41.0,0.0,,,13.5,,1010.8,
Davis,2023-08-17,28.1,19.6,39.7,0.0,,,15.8,,1008.0,
Davis,2023-08-18,24.4,18.1,34.0,0.0,,,18.5,,1007.9,
Davis,2023-08-19,24.8,16.0,35.8,0.0,,,12.8,,1007.2,
Davis,2023-08-20,26.9,18.0,35.5,0.6,,,10.9,,1005.1,
Davis,2023-08-21,24.7,20.1,29.4,0.0,,,16.2,,1010.0,
Davis,2023-08-22,25.0,18.4,32.2,0.0,,,9.8,,1014.4,
Davis,2023-08-23,28.0,19.4,36.8,0.0,,,8.2,,1011.7,
Davis,2023-08-24,27.4,20.4,36.2,0.0,,,12.0,,1010.2,
Davis,2023-08-25,23.6,15.3,33.9,0.0,,,15.2,,1012.7,
Davis,2023-08-26,23.0,13.2,35.1,0.0,,,12.5,,1013.6,
Davis,2023-08-27,23.6,12.8,35.6,0.0,,,9.4,,1014.4,
Davis,2023-08-28,25.8,16.0,37.3,0.0,,,9.8,,1012.8,
Davis,2023-08-29,25.7,14.7,36.9,0.0,,,10.4,,1012.4,
Davis,2023-08-30,30.0,21.7,39.6,0.0,,,15.3,,1009.2,
Davis,2023-08-31,25.1,18.1,33.5,0.0,,,14.3,,1005.2,
Davis,2023-09-01,19.8,15.9,25.2,0.1,,,21.2,,1007.5,
Davis,2023-09-02,20.4,14.5,26.5,0.0,,,10.3,,1014.0,
Davis,2023-09-03,21.2,16.2,27.6,0.0,,,12.6,,1015.3,
Davis,2023-09-04,21.8,13.9,31.3,0.0,,,10.2,,1013.1,
Davis,2023-09-05,22.9,14.1,33.1,0.0,,,10.3,,1010.5,
Davis,2023-09-06,22.7,15.1,31.8,0.0,,,15.2,,1011.8,
Davis,2023-09-07,22.3,14.0,32.6,0.0,,,12.3,,1012.7,
Davis,2023-09-08,23.7,15.0,34.1,0.0,,,9.6,,1014.6,
Davis,2023-09-09,23.5,14.3,34.0,0.0,,,10.8,,1015.7,
Davis,2023-09-10,23.5,13.1,35.3,0.0,,,8.6,,1014.4,
Davis,2023-09-11,24.1,15.0,35.3,0.0,,,9.7,,1012.6,
Davis,2023-09-12,22.7,14.3,33.2,0.0,,,12.3,,1011.7,
Davis,2023-09-13,23.9,14.8,35.1,0.0,,,9.3,,1011.0,
Davis,2023-09-14,23.2,15.3,33.6,0.0,,,12.9,,1010.9,
Davis,2023-09-15,22.4,15.3,32.7,0.0,,,13.5,,1012.0,
Davis,2023-09-16,21.6,14.8,30.9,0.0,,,16.7,,1012.4,
Davis,2023-09-17,20.6,14.5,29.0,0.0,,,17.6,,1013.4,
Davis,2023-09-18,20.6,13.8,29.9,0.0,,,14.7,,1013.7,
